time,theta,zeta_wall
0.020000,1.472622,1.03290032e-02
0.020000,1.570796,7.36560959e-03
0.020000,1.668971,4.33128109e-03
0.020000,1.767146,1.25524000e-03
0.020000,1.865321,-1.83288975e-03
0.020000,1.963495,-4.90336776e-03
0.020000,2.061670,-7.92662366e-03
0.020000,2.159845,-1.08735418e-02
0.020000,2.258020,-1.37157419e-02
0.020000,2.356194,-1.64258518e-02
0.020000,2.454369,-1.89777718e-02
0.020000,2.552544,-2.13469255e-02
0.020000,2.650719,-2.35104966e-02
0.020000,2.748894,-2.54476488e-02
0.020000,2.847068,-2.71397263e-02
0.020000,2.945243,-2.85704333e-02
0.020000,3.043418,-2.97259914e-02
0.020000,3.141593,-3.05952720e-02
0.020000,3.239767,-3.11699034e-02
0.020000,3.337942,-3.14443516e-02
0.020000,3.436117,-3.14159735e-02
0.020000,3.534292,-3.10850424e-02
0.020000,3.632467,-3.04547453e-02
0.020000,3.730641,-2.95311524e-02
0.020000,3.828816,-2.83231583e-02
0.020000,3.926991,-2.68423968e-02
0.020000,4.025166,-2.51031283e-02
0.020000,4.123340,-2.31221029e-02
0.020000,4.221515,-2.09183991e-02
0.020000,4.319690,-1.85132396e-02
0.020000,4.417865,-1.59297876e-02
0.020000,4.516039,-1.31929229e-02
0.020000,4.614214,-1.03290032e-02
0.020000,4.712389,-7.36560959e-03
0.020000,4.810564,-4.33128109e-03
0.020000,4.908739,-1.25524000e-03
0.020000,5.006913,1.83288975e-03
0.020000,5.105088,4.90336776e-03
0.020000,5.203263,7.92662366e-03
0.020000,5.301438,1.08735418e-02
0.020000,5.399612,1.37157419e-02
0.020000,5.497787,1.64258518e-02
0.020000,5.595962,1.89777718e-02
0.020000,5.694137,2.13469255e-02
0.020000,5.792311,2.35104966e-02
0.020000,5.890486,2.54476488e-02
0.020000,5.988661,2.71397263e-02
0.020000,6.086836,2.85704333e-02
0.020000,6.185011,2.97259914e-02
0.030000,0.000000,2.95140358e-02
0.030000,0.098175,3.04422566e-02
0.030000,0.196350,3.10773018e-02
0.030000,0.294524,3.14130556e-02
0.030000,0.392699,3.14462845e-02
0.030000,0.490874,3.11766685e-02
0.030000,0.589049,3.06068041e-02
0.030000,0.687223,2.97421795e-02
0.030000,0.785398,2.85911214e-02
0.030000,0.883573,2.71647152e-02
0.030000,0.981748,2.54766980e-02
0.030000,1.079922,2.35433262e-02
0.030000,1.178097,2.13832193e-02
0.030000,1.276272,1.90171803e-02
0.030000,1.374447,1.64679955e-02
0.030000,1.472622,1.37602149e-02
0.030000,1.570796,1.09199158e-02
0.030000,1.668971,7.97445207e-03
0.030000,1.767146,4.95218996e-03
0.030000,1.865321,1.88223556e-03
0.030000,1.963495,-1.20584580e-03
0.030000,2.061670,-4.28231420e-03
0.030000,2.159845,-7.31754158e-03
0.030000,2.258020,-1.02822970e-02
0.030000,2.356194,-1.31480283e-02
0.030000,2.454369,-1.58871370e-02
0.030000,2.552544,-1.84732437e-02
0.030000,2.650719,-2.08814431e-02
0.030000,2.748894,-2.30885428e-02
0.030000,2.847068,-2.50732871e-02
0.030000,2.945243,-2.68165620e-02
0.030000,3.043418,-2.83015788e-02
0.030000,3.141593,-2.95140358e-02
0.030000,3.239767,-3.04422566e-02
0.030000,3.337942,-3.10773018e-02
0.030000,3.436117,-3.14130556e-02
0.030000,3.534292,-3.14462845e-02
0.030000,3.632467,-3.11766685e-02
0.030000,3.730641,-3.06068041e-02
0.030000,3.828816,-2.97421795e-02
0.030000,3.926991,-2.85911214e-02
0.030000,4.025166,-2.71647152e-02
0.030000,4.123340,-2.54766980e-02
0.030000,4.221515,-2.35433262e-02
0.030000,4.319690,-2.13832193e-02
0.030000,4.417865,-1.90171803e-02
0.030000,4.516039,-1.64679955e-02
0.030000,4.614214,-1.37602149e-02
0.030000,4.712389,-1.09199158e-02
0.030000,4.810564,-7.97445207e-03
0.030000,4.908739,-4.95218996e-03
0.030000,5.006913,-1.88223556e-03
0.030000,5.105088,1.20584580e-03
0.030000,5.203263,4.28231420e-03
0.030000,5.301438,7.31754158e-03
0.030000,5.399612,1.02822970e-02
0.030000,5.497787,1.31480283e-02
0.030000,5.595962,1.58871370e-02
0.030000,5.694137,1.84732437e-02
0.030000,5.792311,2.08814431e-02
0.030000,5.890486,2.30885428e-02
0.030000,5.988661,2.50732871e-02
0.030000,6.086836,2.68165620e-02
0.030000,6.185011,2.83015788e-02
0.040000,0.000000,2.80214615e-02
0.040000,0.098175,2.92903350e-02
0.040000,0.196350,3.02771266e-02
0.040000,0.294524,3.09723329e-02
0.040000,0.392699,3.13692587e-02
0.040000,0.490874,3.14640814e-02
0.040000,0.589049,3.12558878e-02
0.040000,0.687223,3.07466829e-02
0.040000,0.785398,2.99413706e-02
0.040000,0.883573,2.88477066e-02
0.040000,0.981748,2.74762233e-02
0.040000,1.079922,2.58401291e-02
0.040000,1.178097,2.39551802e-02
0.040000,1.276272,2.18395299e-02
0.040000,1.374447,1.95135530e-02
0.040000,1.472622,1.69996499e-02
0.040000,1.570796,1.43220308e-02
0.040000,1.668971,1.15064828e-02
0.040000,1.767146,8.58012108e-03
0.040000,1.865321,5.57112809e-03
0.040000,1.963495,2.50848208e-03
0.040000,2.061670,-5.78321976e-04
0.040000,2.159845,-3.65955648e-03
0.040000,2.258020,-6.70554745e-03
0.040000,2.356194,-9.68696033e-03
0.040000,2.454369,-1.25750825e-02
0.040000,2.552544,-1.53420997e-02
0.040000,2.650719,-1.79613642e-02
0.040000,2.748894,-2.04076509e-02
0.040000,2.847068,-2.26574007e-02
0.040000,2.945243,-2.46889474e-02
0.040000,3.043418,-2.64827260e-02
0.040000,3.141593,-2.80214615e-02
0.040000,3.239767,-2.92903350e-02
0.040000,3.337942,-3.02771266e-02
0.040000,3.436117,-3.09723329e-02
0.040000,3.534292,-3.13692587e-02
0.040000,3.632467,-3.14640814e-02
0.040000,3.730641,-3.12558878e-02
0.040000,3.828816,-3.07466829e-02
0.040000,3.926991,-2.99413706e-02
0.040000,4.025166,-2.88477066e-02
0.040000,4.123340,-2.74762233e-02
0.040000,4.221515,-2.58401291e-02
0.040000,4.319690,-2.39551802e-02
0.040000,4.417865,-2.18395299e-02
0.040000,4.516039,-1.95135530e-02
0.040000,4.614214,-1.69996499e-02
0.040000,4.712389,-1.43220308e-02
0.040000,4.810564,-1.15064828e-02
0.040000,4.908739,-8.58012108e-03
0.040000,5.006913,-5.57112809e-03
0.040000,5.105088,-2.50848208e-03
0.040000,5.203263,5.78321976e-04
0.040000,5.301438,3.65955648e-03
0.040000,5.399612,6.70554745e-03
0.040000,5.497787,9.68696033e-03
0.040000,5.595962,1.25750825e-02
0.040000,5.694137,1.53420997e-02
0.040000,5.792311,1.79613642e-02
0.040000,5.890486,2.04076509e-02
0.040000,5.988661,2.26574007e-02
0.040000,6.086836,2.46889474e-02
0.040000,6.185011,2.64827260e-02
0.050000,0.000000,2.61383511e-02
0.050000,0.098175,2.77301930e-02
0.050000,0.196350,2.90549780e-02
0.050000,0.294524,3.00999477e-02
0.050000,0.392699,3.08550384e-02
0.050000,0.490874,3.13129783e-02
0.050000,0.589049,3.14693570e-02
0.050000,0.687223,3.13226686e-02
0.050000,0.785398,3.08743258e-02
0.050000,0.883573,3.01286464e-02
0.050000,0.981748,2.90928116e-02
0.050000,1.079922,2.77767972e-02
0.050000,1.178097,2.61932770e-02
0.050000,1.276272,2.43575012e-02
0.050000,1.374447,2.22871494e-02
0.050000,1.472622,2.00021602e-02
0.050000,1.570796,1.75245392e-02
0.050000,1.668971,1.48781473e-02
0.050000,1.767146,1.20884708e-02
0.050000,1.865321,9.18237561e-03
0.050000,1.963495,6.18784916e-03
0.050000,2.061670,3.13373034e-03
0.050000,2.159845,4.94319910e-05
0.050000,2.258020,-3.03534242e-03
0.050000,2.356194,-6.09088482e-03
0.050000,2.454369,-9.08776867e-03
0.050000,2.552544,-1.19971323e-02
0.050000,2.650719,-1.47909571e-02
0.050000,2.748894,-1.74423368e-02
0.050000,2.847068,-1.99257373e-02
0.050000,2.945243,-2.22172420e-02
0.050000,3.043418,-2.42947826e-02
0.050000,3.141593,-2.61383511e-02
0.050000,3.239767,-2.77301930e-02
0.050000,3.337942,-2.90549780e-02
0.050000,3.436117,-3.00999477e-02
0.050000,3.534292,-3.08550384e-02
0.050000,3.632467,-3.13129783e-02
0.050000,3.730641,-3.14693570e-02
0.050000,3.828816,-3.13226686e-02
0.050000,3.926991,-3.08743258e-02
0.050000,4.025166,-3.01286464e-02
0.050000,4.123340,-2.90928116e-02
0.050000,4.221515,-2.77767972e-02
0.050000,4.319690,-2.61932770e-02
0.050000,4.417865,-2.43575012e-02
0.050000,4.516039,-2.22871494e-02
0.050000,4.614214,-2.00021602e-02
0.050000,4.712389,-1.75245392e-02
0.050000,4.810564,-1.48781473e-02
0.050000,4.908739,-1.20884708e-02
0.050000,5.006913,-9.18237561e-03
0.050000,5.105088,-6.18784916e-03
0.050000,5.203263,-3.13373034e-03
0.050000,5.301438,-4.94319910e-05
0.050000,5.399612,3.03534242e-03
0.050000,5.497787,6.09088482e-03
0.050000,5.595962,9.08776867e-03
0.050000,5.694137,1.19971323e-02
0.050000,5.792311,1.47909571e-02
0.050000,5.890486,1.74423368e-02
0.050000,5.988661,1.99257373e-02
0.050000,6.086836,2.22172420e-02
0.050000,6.185011,2.42947826e-02
0.060000,0.000000,2.38909496e-02
0.060000,0.098175,2.57835744e-02
0.060000,0.196350,2.74278892e-02
0.060000,0.294524,2.88080585e-02
0.060000,0.392699,2.99107904e-02
0.060000,0.490874,3.07254651e-02
0.060000,0.589049,3.12442367e-02
0.060000,0.687223,3.14621093e-02
0.060000,0.785398,3.13769845e-02
0.060000,0.883573,3.09896822e-02
0.060000,0.981748,3.03039324e-02
0.060000,1.079922,2.93263391e-02
0.060000,1.178097,2.80663172e-02
0.060000,1.276272,2.65360012e-02
0.060000,1.374447,2.47501291e-02
0.060000,1.472622,2.27258997e-02
0.060000,1.570796,2.04828074e-02
0.060000,1.668971,1.80424546e-02
0.060000,1.767146,1.54283430e-02
0.060000,1.865321,1.26656480e-02
0.060000,1.963495,9.78097597e-03
0.060000,2.061670,6.80210775e-03
0.060000,2.159845,3.75773152e-03
0.060000,2.258020,6.77166286e-04
0.060000,2.356194,-2.40992043e-03
0.060000,2.454369,-5.47379830e-03
0.060000,2.552544,-8.48496050e-03
0.060000,2.650719,-1.14144079e-02
0.060000,2.748894,-1.42339283e-02
0.060000,2.847068,-1.69163682e-02
0.060000,2.945243,-1.94358942e-02
0.060000,3.043418,-2.17682419e-02
0.060000,3.141593,-2.38909496e-02
0.060000,3.239767,-2.57835744e-02
0.060000,3.337942,-2.74278892e-02
0.060000,3.436117,-2.88080585e-02
0.060000,3.534292,-2.99107904e-02
0.060000,3.632467,-3.07254651e-02
0.060000,3.730641,-3.12442367e-02
0.060000,3.828816,-3.14621093e-02
0.060000,3.926991,-3.13769845e-02
0.060000,4.025166,-3.09896822e-02
0.060000,4.123340,-3.03039324e-02
0.060000,4.221515,-2.93263391e-02
0.060000,4.319690,-2.80663172e-02
0.060000,4.417865,-2.65360012e-02
0.060000,4.516039,-2.47501291e-02
0.060000,4.614214,-2.27258997e-02
0.060000,4.712389,-2.04828074e-02
0.060000,4.810564,-1.80424546e-02
0.060000,4.908739,-1.54283430e-02
0.060000,5.006913,-1.26656480e-02
0.060000,5.105088,-9.78097597e-03
0.060000,5.203263,-6.80210775e-03
0.060000,5.301438,-3.75773152e-03
0.060000,5.399612,-6.77166286e-04
