time,max_z,min_z,mean_z,num_points
0.0,0.004150000400841236,0.004149999935179949,0.004149999935179949,641
0.25,0.004159526899456978,0.004142269026488066,0.004150100983679295,544
0.5,0.004173135384917259,0.004124882631003857,0.0041499012149870396,530
0.75,0.00418968265876174,0.004102963022887707,0.0041496665216982365,528
1.0,0.004198222886770964,0.004093344323337078,0.004149926360696554,526
1.25,0.004199270159006119,0.004095199052244425,0.004149970132857561,526
1.5,0.004201795440167189,0.004095796961337328,0.004149959422647953,525
1.75,0.004200262948870659,0.004096226766705513,0.004149965476244688,525
2.0,0.004199668765068054,0.004093219991773367,0.0041496544145047665,525
2.25,0.004201461561024189,0.004094085656106472,0.004149905405938625,526
2.5,0.004195107147097588,0.004096935037523508,0.004150201100856066,526
2.75,0.004196236375719309,0.004098293371498585,0.004150028340518475,528
3.0,0.00419769249856472,0.004095103126019239,0.004149822983890772,525
3.25,0.0042002699337899685,0.004097013734281063,0.004149946384131908,525
3.5,0.004200671333819628,0.004100954160094261,0.004150107502937317,525
3.75,0.004196039866656065,0.0040993220172822475,0.004150070250034332,527
4.0,0.004197494592517614,0.0040992931462824345,0.004149859305471182,526
4.25,0.004194215871393681,0.004095140844583511,0.004149885382503271,526
4.5,0.004196885973215103,0.004095392767339945,0.004149916581809521,526
4.75,0.004198318812996149,0.004093195777386427,0.004150166641920805,526
5.0,0.004197181202471256,0.0040976074524223804,0.004150114022195339,526
5.25,0.004198577720671892,0.004093234892934561,0.004149843007326126,525
5.5,0.004198337905108929,0.004091658629477024,0.004149812273681164,525
5.75,0.004194390028715134,0.0040959701873362064,0.004150001797825098,527
6.0,0.004198307637125254,0.004094668198376894,0.004149872809648514,526
6.25,0.004193431697785854,0.0040984442457556725,0.004150069318711758,527
6.5,0.004197932314127684,0.004093509167432785,0.004150080028921366,526
6.75,0.0041988384909927845,0.004095207434147596,0.004150155000388622,525
7.0,0.004201353061944246,0.0040955375880002975,0.004150014370679855,526
7.25,0.004200438037514687,0.004090431611984968,0.004149925895035267,526
7.5,0.0042001623660326,0.0040921419858932495,0.004149913787841797,526
7.75,0.004199703224003315,0.004099493380635977,0.004149808548390865,526
8.0,0.004200035706162453,0.004095389973372221,0.004149990156292915,525
8.25,0.004195874091237783,0.004098062869161367,0.004149939399212599,525
8.5,0.004205000586807728,0.004096372053027153,0.004150038585066795,525
8.75,0.004196525551378727,0.0040979329496622086,0.004150049295276403,526
9.0,0.004200344439595938,0.0040972065180540085,0.004150045104324818,527
9.25,0.004196809139102697,0.004094649106264114,0.004149952437728643,526
9.5,0.004197460133582354,0.004095288459211588,0.004149994347244501,526
9.75,0.004197633825242519,0.004095552489161491,0.004150351509451866,527
10.0,0.004198284354060888,0.004090471193194389,0.0041498360224068165,526
